ms,features,map,requested_nm,commanded_nm,limit_nm,fuel_multiplier,ethanol_filtered,dtcs,limp,launch,shift
1380,15,2,245.00000,78.00000,350.00000,1.04256,10.00000,0,0,0,0
1400,15,2,245.00000,80.00000,350.00000,1.04256,10.00000,0,0,0,0
1420,15,2,245.00000,82.00000,350.00000,1.04256,10.00000,0,0,0,0
1440,15,2,245.00000,84.00000,350.00000,1.04256,10.00000,0,0,0,0
1460,15,2,245.00000,86.00000,350.00000,1.04256,10.00000,0,0,0,0
1480,15,2,245.00000,88.00000,350.00000,1.04256,10.00000,0,0,0,0
1500,15,2,245.00000,90.00000,350.00000,1.04256,10.00000,0,0,0,0
1520,15,2,245.00000,92.00000,350.00000,1.04256,10.00000,0,0,0,0
1540,15,2,245.00000,94.00000,350.00000,1.04256,10.00000,0,0,0,0
1560,15,2,245.00000,96.00000,350.00000,1.04256,10.00000,0,0,0,0
1580,15,2,245.00000,98.00000,350.00000,1.04256,10.00000,0,0,0,0
1600,15,2,245.00000,100.00000,350.00000,1.04256,10.00000,0,0,0,0
1620,15,2,245.00000,102.00000,350.00000,1.04256,10.00000,0,0,0,0
1640,15,2,245.00000,104.00000,350.00000,1.04256,10.00000,0,0,0,0
1660,15,2,245.00000,106.00000,350.00000,1.04256,10.00000,0,0,0,0
1680,15,2,245.00000,108.00000,350.00000,1.04256,10.00000,0,0,0,0
1700,15,2,245.00000,110.00000,350.00000,1.04256,10.00000,0,0,0,0
1720,15,2,245.00000,112.00000,350.00000,1.04256,10.00000,0,0,0,0
1740,15,2,245.00000,114.00000,350.00000,1.04256,10.00000,0,0,0,0
1760,15,2,245.00000,116.00000,350.00000,1.04256,10.00000,0,0,0,0
1780,15,2,245.00000,118.00000,350.00000,1.04256,10.00000,0,0,0,0
1800,15,2,245.00000,120.00000,350.00000,1.05542,12.88461,0,0,0,0
1820,15,2,245.00000,122.00000,350.00000,1.06805,15.65828,0,0,0,0
1840,15,2,245.00000,124.00000,350.00000,1.08044,18.32527,0,0,0,0
1860,15,2,245.00000,126.00000,350.00000,1.09258,20.88968,0,0,0,0
1880,15,2,245.00000,128.00000,350.00000,1.10449,23.35547,0,0,0,0
1900,15,2,245.00000,130.00000,350.00000,1.11615,25.72641,0,0,0,0
1920,15,2,245.00000,132.00000,350.00000,1.12757,28.00616,0,0,0,0
1940,15,2,245.00000,134.00000,350.00000,1.13874,30.19823,0,0,0,0
1960,15,2,245.00000,136.00000,350.00000,1.14967,32.30599,0,0,0,0
1980,15,2,245.00000,138.00000,350.00000,1.16034,34.33268,0,0,0,0
2000,15,2,245.00000,140.00000,350.00000,1.17078,36.28143,0,0,0,0
2020,15,2,245.00000,142.00000,350.00000,1.18096,38.15522,0,0,0,0
2040,15,2,245.00000,144.00000,350.00000,1.19091,39.95694,0,0,0,0
2060,15,2,245.00000,146.00000,350.00000,1.20060,41.68937,0,0,0,0
2080,15,2,245.00000,148.00000,350.00000,1.21006,43.35516,0,0,0,0
2100,15,2,245.00000,150.00000,350.00000,1.21928,44.95689,0,0,0,0
2120,15,2,245.00000,152.00000,350.00000,1.22826,46.49701,0,0,0,0
2140,15,2,245.00000,154.00000,350.00000,1.23700,47.97789,0,0,0,0
2160,15,2,245.00000,156.00000,350.00000,1.24552,49.40182,0,0,0,0
2180,15,2,245.00000,158.00000,350.00000,1.25380,50.77098,0,0,0,0
2200,15,2,245.00000,160.00000,350.00000,1.26186,52.08748,0,0,0,0
2220,15,2,245.00000,162.00000,350.00000,1.26969,53.35334,0,0,0,0
2240,15,2,245.00000,164.00000,350.00000,1.27730,54.57052,0,0,0,0
2260,15,2,245.00000,166.00000,350.00000,1.28470,55.74089,0,0,0,0
2280,15,2,245.00000,168.00000,350.00000,1.29188,56.86624,0,0,0,0
2300,15,2,245.00000,170.00000,350.00000,1.29886,57.94831,0,0,0,0
2320,15,2,245.00000,172.00000,350.00000,1.30563,58.98876,0,0,0,0
2340,15,2,245.00000,174.00000,350.00000,1.31220,59.98919,0,0,0,0
2360,15,2,245.00000,176.00000,350.00000,1.31857,60.95115,0,0,0,0
2380,15,2,245.00000,178.00000,350.00000,1.32475,61.87610,0,0,0,0
2400,15,2,245.00000,180.00000,350.00000,1.33074,62.76548,0,0,0,0
2420,15,2,245.00000,182.00000,350.00000,1.33654,63.62066,0,0,0,0
2440,15,2,245.00000,184.00000,350.00000,1.34217,64.44294,0,0,0,0
2460,15,2,245.00000,186.00000,350.00000,1.34761,65.23360,0,0,0,0
2480,15,2,245.00000,188.00000,350.00000,1.35289,65.99384,0,0,0,0
2500,15,2,245.00000,190.00000,350.00000,1.35800,66.72485,0,0,0,0
2520,15,2,245.00000,192.00000,350.00000,1.36294,67.42773,0,0,0,0
2540,15,2,245.00000,194.00000,350.00000,1.36772,68.10359,0,0,0,0
2560,15,2,245.00000,196.00000,350.00000,1.37235,68.75346,0,0,0,0
2580,15,2,245.00000,198.00000,350.00000,1.37683,69.37833,0,0,0,0
2600,15,2,245.00000,200.00000,350.00000,1.38115,69.97916,0,0,0,0
2620,15,2,245.00000,202.00000,350.00000,1.38534,70.55688,0,0,0,0
2640,15,2,245.00000,204.00000,350.00000,1.38938,71.11239,0,0,0,0
2660,15,2,245.00000,206.00000,350.00000,1.39329,71.64653,0,0,0,0
2680,15,2,245.00000,208.00000,350.00000,1.39707,72.16013,0,0,0,0
2700,15,2,245.00000,210.00000,350.00000,1.40072,72.65397,0,0,0,0
2720,15,2,245.00000,212.00000,350.00000,1.40425,73.12881,0,0,0,0
2740,15,2,245.00000,214.00000,350.00000,1.40765,73.58540,0,0,0,0
2760,15,2,245.00000,216.00000,350.00000,1.41094,74.02442,0,0,0,0
2780,15,2,245.00000,218.00000,350.00000,1.41411,74.44656,0,0,0,0
2800,15,2,245.00000,220.00000,350.00000,1.41718,74.85246,0,0,0,0
2820,15,2,245.00000,222.00000,350.00000,1.42014,75.24274,0,0,0,0
2840,15,2,245.00000,224.00000,350.00000,1.42299,75.61803,0,0,0,0
2860,15,2,245.00000,226.00000,350.00000,1.42574,75.97887,0,0,0,0
2880,15,2,245.00000,228.00000,350.00000,1.42840,76.32584,0,0,0,0
2900,15,2,245.00000,230.00000,350.00000,1.43097,76.65946,0,0,0,0
2920,15,2,245.00000,232.00000,350.00000,1.43344,76.98026,0,0,0,0
2940,15,2,245.00000,234.00000,350.00000,1.43582,77.28870,0,0,0,0
2960,15,2,245.00000,236.00000,350.00000,1.43812,77.58529,0,0,0,0
2980,15,2,245.00000,238.00000,350.00000,1.44034,77.87047,0,0,0,0
3000,15,2,350.00000,60.00000,60.00000,1.44248,78.14468,0,0,0,1
3020,15,2,350.00000,60.00000,60.00000,1.44454,78.40835,0,0,0,1
3040,15,2,350.00000,60.00000,60.00000,1.44653,78.66187,0,0,0,1
3060,15,2,350.00000,60.00000,60.00000,1.44844,78.90565,0,0,0,1
3080,15,2,350.00000,60.00000,60.00000,1.45029,79.14005,0,0,0,1
3100,15,2,350.00000,60.00000,60.00000,1.45207,79.36543,0,0,0,1
3120,15,2,350.00000,60.00000,60.00000,1.45378,79.58214,0,0,0,1
3140,15,2,350.00000,60.00000,60.00000,1.45543,79.79052,0,0,0,1
3160,15,2,350.00000,62.00000,350.00000,1.45702,79.99088,0,0,0,0
3180,15,2,350.00000,64.00000,350.00000,1.45856,80.18354,0,0,0,0
3200,15,2,350.00000,66.00000,350.00000,1.46003,80.36879,0,0,0,0
3220,15,2,350.00000,68.00000,350.00000,1.46145,80.54691,0,0,0,0
3240,15,2,350.00000,70.00000,350.00000,1.46282,80.71819,0,0,0,0
3260,15,2,350.00000,72.00000,350.00000,1.46414,80.88287,0,0,0,0
3280,15,2,350.00000,74.00000,350.00000,1.46541,81.04122,0,0,0,0
3300,15,2,245.00000,76.00000,350.00000,1.46664,81.19348,0,0,0,0
3320,15,2,245.00000,78.00000,350.00000,1.46782,81.33989,0,0,0,0
3340,15,2,245.00000,80.00000,350.00000,1.46895,81.48066,0,0,0,0
3360,15,2,245.00000,82.00000,350.00000,1.47004,81.61602,0,0,0,0
3380,15,2,245.00000,84.00000,350.00000,1.47110,81.74617,0,0,0,0
3400,15,2,245.00000,86.00000,350.00000,1.47211,81.87132,0,0,0,0
3420,15,2,245.00000,88.00000,350.00000,1.47308,81.99165,0,0,0,0
3440,15,2,245.00000,90.00000,350.00000,1.47402,82.10735,0,0,0,0
3460,15,2,245.00000,92.00000,350.00000,1.47493,82.21861,0,0,0,0
3480,15,2,245.00000,94.00000,350.00000,1.47580,82.32559,0,0,0,0
3500,15,2,245.00000,96.00000,350.00000,1.47663,82.42845,0,0,0,0
3520,15,2,245.00000,98.00000,350.00000,1.47744,82.52736,0,0,0,0
3540,15,2,245.00000,100.00000,350.00000,1.47821,82.62246,0,0,0,0
3560,15,2,245.00000,102.00000,350.00000,1.47896,82.71391,0,0,0,0
3580,15,2,245.00000,104.00000,350.00000,1.47968,82.80183,0,0,0,0
3600,15,2,245.00000,106.00000,350.00000,1.48037,82.88638,0,0,0,0
3620,15,2,245.00000,108.00000,350.00000,1.48103,82.96767,0,0,0,0
3640,15,2,245.00000,110.00000,350.00000,1.48167,83.04583,0,0,0,0
3660,15,2,245.00000,112.00000,350.00000,1.48229,83.12099,0,0,0,0
3680,15,2,245.00000,114.00000,350.00000,1.48288,83.19326,0,0,0,0
3700,15,2,245.00000,116.00000,350.00000,1.48345,83.26275,0,0,0,0
3720,15,2,245.00000,118.00000,350.00000,1.48400,83.32957,0,0,0,0
3740,15,2,245.00000,120.00000,350.00000,1.48453,83.39381,0,0,0,0
3760,15,2,245.00000,122.00000,350.00000,1.48504,83.45559,0,0,0,0
3780,15,2,245.00000,124.00000,350.00000,1.48553,83.51499,0,0,0,0
3800,15,2,245.00000,126.00000,350.00000,1.48600,83.57211,0,0,0,0
3820,15,2,245.00000,128.00000,350.00000,1.48645,83.62702,0,0,0,0
3840,15,2,245.00000,130.00000,350.00000,1.48688,83.67983,0,0,0,0
3860,15,2,245.00000,132.00000,350.00000,1.48730,83.73061,0,0,0,0
3880,15,2,245.00000,134.00000,350.00000,1.48771,83.77943,0,0,0,0
3900,15,2,245.00000,136.00000,350.00000,1.48809,83.82637,0,0,0,0
3920,15,2,245.00000,138.00000,350.00000,1.48847,83.87151,0,0,0,0
3940,15,2,245.00000,140.00000,350.00000,1.48883,83.91492,0,0,0,0
3960,15,2,245.00000,142.00000,350.00000,1.48917,83.95665,0,0,0,0
3980,15,2,245.00000,144.00000,350.00000,1.48950,83.99678,0,0,0,0
4000,15,2,341.66666,80.00000,80.00000,1.48982,84.03536,0,0,1,0
4020,15,2,341.66666,80.00000,80.00000,1.49013,84.07246,0,0,1,0
4040,15,2,341.66666,80.00000,80.00000,1.49042,84.10814,0,0,1,0
4060,15,2,341.66666,80.00000,80.00000,1.49071,84.14244,0,0,1,0
4080,15,2,341.66666,80.00000,80.00000,1.49098,84.17542,0,0,1,0
4100,15,2,341.66666,80.00000,80.00000,1.49124,84.20714,0,0,1,0
4120,15,2,341.66666,80.00000,80.00000,1.49150,84.23763,0,0,1,0
4140,15,2,341.66666,80.00000,80.00000,1.49174,84.26695,0,0,1,0
4160,15,2,341.66666,80.00000,80.00000,1.49197,84.29514,0,0,1,0
4180,15,2,341.66666,80.00000,80.00000,1.49220,84.32225,0,0,1,0
4200,15,2,341.66666,80.00000,80.00000,1.49241,84.34832,0,0,1,0
4220,15,2,341.66666,80.00000,80.00000,1.49262,84.37338,0,0,1,0
4240,15,2,341.66666,80.00000,80.00000,1.49282,84.39748,0,0,1,0
4260,15,2,341.66666,80.00000,80.00000,1.49301,84.42065,0,0,1,0
4280,15,2,341.66666,80.00000,80.00000,1.49320,84.44294,0,0,1,0
4300,15,2,341.66666,80.00000,80.00000,1.49338,84.46436,0,0,1,0
4320,15,2,341.66666,80.00000,80.00000,1.49355,84.48496,0,0,1,0
4340,15,2,341.66666,80.00000,80.00000,1.49371,84.50477,0,0,1,0
4360,15,2,341.66666,80.00000,80.00000,1.49387,84.52382,0,0,1,0
4380,15,2,341.66666,80.00000,80.00000,1.49402,84.54214,0,0,1,0
4400,15,2,341.66666,80.00000,80.00000,1.49417,84.55975,0,0,1,0
4420,15,2,341.66666,80.00000,80.00000,1.49431,84.57668,0,0,1,0
4440,15,2,341.66666,80.00000,80.00000,1.49445,84.59296,0,0,1,0
4460,15,2,341.66666,80.00000,80.00000,1.49458,84.60861,0,0,1,0
4480,15,2,341.66666,80.00000,80.00000,1.49470,84.62366,0,0,1,0
4500,15,2,341.66666,80.00000,80.00000,1.49482,84.63814,0,0,1,0
4520,15,2,341.66666,80.00000,80.00000,1.49494,84.65205,0,0,1,0
4540,15,2,341.66666,80.00000,80.00000,1.49505,84.66544,0,0,1,0
4560,15,2,341.66666,80.00000,80.00000,1.49516,84.67831,0,0,1,0
4580,15,2,341.66666,80.00000,80.00000,1.49526,84.69068,0,0,1,0
4600,15,2,341.66666,80.00000,80.00000,1.49536,84.70258,0,0,1,0
4620,15,2,341.66666,80.00000,80.00000,1.49545,84.71401,0,0,1,0
4640,15,2,341.66666,80.00000,80.00000,1.49555,84.72501,0,0,1,0
4660,15,2,341.66666,80.00000,80.00000,1.49563,84.73559,0,0,1,0
4680,15,2,341.66666,80.00000,80.00000,1.49572,84.74576,0,0,1,0
4700,15,2,341.66666,80.00000,80.00000,1.49580,84.75554,0,0,1,0
